,Occupation_Code,Occupation_Title,Total_Employees,Mean_Annual_Wage,Annual_10th_Percentile_Wage,Annual_25th_Percentile_Wage,Annual_Median_Wage,Annual_75th_Percentile_Wage,Annual_90th_Percentile_Wage
479,27-3099,"Media and Communication Workers, All Other","23,310","50,860","23,780","29,330","43,600","63,480","91,820"
480,27-4000,Media and Communication Equipment Workers,"234,960","55,520","21,630","30,460","45,680","69,370","99,200"
481,27-4010,Broadcast and Sound Engineering Technicians and Radio Operators,"116,080","49,250","22,030","30,100","42,590","61,420","84,330"
482,27-4011,Audio and Video Equipment Technicians,"69,670","47,450","24,020","31,110","42,230","58,910","78,980"
483,27-4012,Broadcast Technicians,"30,330","45,430","19,460","25,840","38,550","60,370","80,280"
484,27-4013,Radio Operators,870,"46,780","19,740","31,690","46,250","59,850","73,930"
485,27-4014,Sound Engineering Technicians,"15,210","65,240","24,440","34,490","53,680","83,100","121,630"
486,27-4020,Photographers,"48,660","42,640","19,110","23,480","34,070","52,220","76,220"
487,27-4021,Photographers,"48,660","42,640","19,110","23,480","34,070","52,220","76,220"
488,27-4030,"Television, Video, and Motion Picture Camera Operators and Editors","51,590","74,200","27,310","38,730","59,040","89,280","143,280"
489,27-4031,"Camera Operators, Television, Video, and Motion Picture","21,710","63,200","26,940","37,570","55,080","77,410","109,200"
490,27-4032,Film and Video Editors,"29,880","82,190","27,640","39,780","62,760","104,080","162,260"
491,27-4090,Miscellaneous Media and Communication Equipment Workers,"18,620","76,500","35,060","54,310","75,700","97,060","118,840"
492,27-4099,"Media and Communication Equipment Workers, All Other","18,620","76,500","35,060","54,310","75,700","97,060","118,840"
493,29-0000,Healthcare Practitioners and Technical Occupations,"8,318,500","79,160","32,430","45,330","63,420","91,180","134,930"
494,29-1000,Health Diagnosing and Treating Practitioners,"5,143,640","98,830","49,090","59,780","77,980","111,480","176,020"
495,29-1010,Chiropractors,"32,960","81,210","32,380","47,460","67,520","96,770","141,030"
496,29-1011,Chiropractors,"32,960","81,210","32,380","47,460","67,520","96,770","141,030"
497,29-1020,Dentists,"122,330","178,670","67,660","107,220","159,770",#,#
498,29-1021,"Dentists, General","105,620","173,860","67,690","106,180","153,900",#,#
499,29-1022,Oral and Maxillofacial Surgeons,"5,380","232,870","69,550","163,110",#,#,#
500,29-1023,Orthodontists,"5,200","228,780","91,580","150,060",#,#,#
501,29-1024,Prosthodontists,750,"168,140","74,990","98,090","126,050",#,#
502,29-1029,"Dentists, All Other Specialists","5,380","171,900","38,130","94,010","173,000",#,#
503,29-1030,Dietitians and Nutritionists,"61,430","59,670","36,470","47,200","58,920","71,840","82,410"
504,29-1031,Dietitians and Nutritionists,"61,430","59,670","36,470","47,200","58,920","71,840","82,410"
505,29-1040,Optometrists,"36,430","117,580","52,810","81,480","106,140","135,180","192,050"
506,29-1041,Optometrists,"36,430","117,580","52,810","81,480","106,140","135,180","192,050"
507,29-1050,Pharmacists,"305,510","120,270","87,120","109,400","122,230","138,920","157,950"
508,29-1051,Pharmacists,"305,510","120,270","87,120","109,400","122,230","138,920","157,950"
509,29-1060,Physicians and Surgeons,"649,850","210,170","61,870","133,450",#,#,#
510,29-1061,Anesthesiologists,"30,190","269,600","146,310",#,#,#,#
511,29-1062,Family and General Practitioners,"122,970","200,810","69,890","133,580","190,490",#,#
512,29-1063,"Internists, General","45,290","201,840","60,080","119,750","196,380",#,#
513,29-1064,Obstetricians and Gynecologists,"19,800","234,310","82,570","167,710",#,#,#
514,29-1065,"Pediatricians, General","26,960","184,240","84,770","131,850","168,990",#,#
515,29-1066,Psychiatrists,"24,820","200,220","61,330","125,570","194,740",#,#
516,29-1067,Surgeons,"41,190","252,910","104,680","197,070",#,#,#
517,29-1069,"Physicians and Surgeons, All Other","338,620","205,560","59,090","119,120","206,920",#,#
518,29-1070,Physician Assistants,"104,050","102,090","65,620","86,130","101,480","121,420","142,210"
519,29-1071,Physician Assistants,"104,050","102,090","65,620","86,130","101,480","121,420","142,210"
520,29-1080,Podiatrists,"9,800","144,110","48,830","78,130","124,830","182,420",#
521,29-1081,Podiatrists,"9,800","144,110","48,830","78,130","124,830","182,420",#
522,29-1120,Therapists,"651,500","77,540","46,000","58,470","75,020","94,360","114,360"
523,29-1122,Occupational Therapists,"118,070","83,730","54,200","67,140","81,910","99,300","119,720"
524,29-1123,Physical Therapists,"216,920","87,220","58,190","70,680","85,400","100,880","122,130"
525,29-1124,Radiation Therapists,"17,450","84,980","53,680","64,630","80,160","100,800","123,710"
526,29-1125,Recreational Therapists,"18,100","48,190","28,010","35,570","46,410","59,680","72,340"
527,29-1126,Respiratory Therapists,"126,770","60,640","42,490","49,340","58,670","70,650","81,550"
528,29-1127,Speech-Language Pathologists,"135,980","78,210","47,070","58,480","74,680","95,000","116,810"
529,29-1128,Exercise Physiologists,"6,880","50,310","32,290","38,270","47,340","59,500","74,330"
530,29-1129,"Therapists, All Other","11,320","60,590","33,900","42,140","56,700","74,390","95,530"
531,29-1130,Veterinarians,"67,650","100,560","52,470","69,240","88,770","118,460","161,070"
532,29-1131,Veterinarians,"67,650","100,560","52,470","69,240","88,770","118,460","161,070"
533,29-1140,Registered Nurses,"2,857,180","72,180","47,120","56,190","68,450","83,770","102,990"
534,29-1141,Registered Nurses,"2,857,180","72,180","47,120","56,190","68,450","83,770","102,990"
535,29-1150,Nurse Anesthetists,"39,860","164,030","107,960","137,800","160,270","189,880",#
536,29-1151,Nurse Anesthetists,"39,860","164,030","107,960","137,800","160,270","189,880",#
537,29-1160,Nurse Midwives,"6,270","102,390","66,660","85,750","99,770","119,690","142,510"
538,29-1161,Nurse Midwives,"6,270","102,390","66,660","85,750","99,770","119,690","142,510"
539,29-1170,Nurse Practitioners,"150,230","104,610","72,420","86,970","100,910","120,450","140,930"
540,29-1171,Nurse Practitioners,"150,230","104,610","72,420","86,970","100,910","120,450","140,930"
541,29-1180,Audiologists,"12,310","79,290","50,490","61,370","75,980","94,170","113,540"
542,29-1181,Audiologists,"12,310","79,290","50,490","61,370","75,980","94,170","113,540"
543,29-1190,Miscellaneous Health Diagnosing and Treating Practitioners,"36,280","84,800","39,330","55,720","74,530","106,170","135,650"
544,29-1199,"Health Diagnosing and Treating Practitioners, All Other","36,280","84,800","39,330","55,720","74,530","106,170","135,650"
545,29-2000,Health Technologists and Technicians,"3,018,820","46,460","25,570","32,510","42,750","57,370","74,390"
546,29-2010,Clinical Laboratory Technologists and Technicians,"326,920","52,280","28,990","37,330","50,930","64,170","78,470"
547,29-2011,Medical and Clinical Laboratory Technologists,"166,730","62,440","41,550","51,370","61,070","73,760","85,160"
548,29-2012,Medical and Clinical Laboratory Technicians,"160,190","41,700","26,010","31,250","38,950","49,920","61,720"
549,29-2020,Dental Hygienists,"204,990","73,440","50,870","60,500","72,910","86,390","100,170"
550,29-2021,Dental Hygienists,"204,990","73,440","50,870","60,500","72,910","86,390","100,170"
551,29-2030,Diagnostic Related Technologists and Technicians,"375,690","62,960","38,540","48,950","61,160","75,710","91,590"
552,29-2031,Cardiovascular Technologists and Technicians,"53,760","57,100","28,650","37,690","55,570","73,050","89,450"
553,29-2032,Diagnostic Medical Sonographers,"65,790","71,750","48,660","57,530","69,650","82,320","99,100"
554,29-2033,Nuclear Medicine Technologists,"19,650","75,960","53,440","62,910","74,350","88,610","101,850"
555,29-2034,Radiologic Technologists,"200,650","59,260","38,660","46,490","57,450","70,430","82,590"
556,29-2035,Magnetic Resonance Imaging Technologists,"35,850","69,240","47,960","56,990","68,420","79,660","95,890"
557,29-2040,Emergency Medical Technicians and Paramedics,"244,960","36,110","21,240","25,850","32,670","42,710","56,310"
558,29-2041,Emergency Medical Technicians and Paramedics,"244,960","36,110","21,240","25,850","32,670","42,710","56,310"
559,29-2050,Health Practitioner Support Technologists and Technicians,"752,050","35,180","21,810","26,370","33,140","41,270","51,490"
560,29-2051,Dietetic Technicians,"32,240","29,360","18,380","21,170","26,350","35,410","45,960"
561,29-2052,Pharmacy Technicians,"398,390","32,170","21,370","25,170","30,920","37,780","45,710"
562,29-2053,Psychiatric Technicians,"61,720","35,870","21,330","25,290","30,970","42,930","59,960"
563,29-2054,Respiratory Therapy Technicians,"10,600","50,520","30,800","40,040","49,780","60,730","72,970"
564,29-2055,Surgical Technologists,"105,720","46,800","31,720","36,980","45,160","55,030","64,800"
565,29-2056,Veterinary Technologists and Technicians,"99,390","33,870","22,340","26,870","32,490","38,950","48,330"
566,29-2057,Ophthalmic Medical Technicians,"43,990","37,040","24,810","29,170","35,530","43,400","51,330"
567,29-2060,Licensed Practical and Licensed Vocational Nurses,"702,400","44,840","32,510","37,040","44,090","51,220","60,420"
568,29-2061,Licensed Practical and Licensed Vocational Nurses,"702,400","44,840","32,510","37,040","44,090","51,220","60,420"
569,29-2070,Medical Records and Health Information Technicians,"200,140","41,460","25,070","29,940","38,040","49,770","62,840"
570,29-2071,Medical Records and Health Information Technicians,"200,140","41,460","25,070","29,940","38,040","49,770","62,840"
571,29-2080,"Opticians, Dispensing","75,270","37,860","22,670","27,890","35,530","45,910","57,180"
572,29-2081,"Opticians, Dispensing","75,270","37,860","22,670","27,890","35,530","45,910","57,180"
573,29-2090,Miscellaneous Health Technologists and Technicians,"136,410","47,680","27,160","32,900","42,500","57,820","75,430"
574,29-2091,Orthotists and Prosthetists,"7,500","69,920","35,870","49,790","65,630","85,390","104,010"
575,29-2092,Hearing Aid Specialists,"6,740","53,000","26,830","34,940","50,250","66,460","80,940"
576,29-2099,"Health Technologists and Technicians, All Other","122,170","46,020","26,990","32,460","41,070","55,550","71,280"
577,29-9000,Other Healthcare Practitioners and Technical Occupations,"156,040","63,250","32,190","42,420","59,260","79,990","100,380"
578,29-9010,Occupational Health and Safety Specialists and Technicians,"93,190","68,930","37,490","49,850","66,820","84,670","102,120"
579,29-9011,Occupational Health and Safety Specialists,"76,630","72,480","41,320","54,320","70,920","88,050","104,460"
580,29-9012,Occupational Health and Safety Technicians,"16,560","52,520","30,820","37,610","48,820","63,200","79,990"
581,29-9090,Miscellaneous Health Practitioners and Technical Workers,"62,850","54,830","27,320","35,700","47,790","67,130","95,220"
582,29-9091,Athletic Trainers,"24,130","47,880","30,300","37,010","45,630","56,320","69,140"
583,29-9092,Genetic Counselors,"2,720","74,960","45,540","59,850","74,120","90,600","104,770"
584,29-9099,"Healthcare Practitioners and Technical Workers, All Other","36,000","57,960","25,960","33,580","48,820","77,400","104,050"
585,31-0000,Healthcare Support Occupations,"4,043,480","30,470","19,780","22,690","27,910","35,580","45,620"
586,31-1000,"Nursing, Psychiatric, and Home Health Aides","2,377,790","26,320","18,950","21,330","24,810","30,040","36,640"
587,31-1010,"Nursing, Psychiatric, and Home Health Aides","2,377,790","26,320","18,950","21,330","24,810","30,040","36,640"
588,31-1011,Home Health Aides,"814,300","23,600","17,990","19,890","22,600","25,760","30,610"
589,31-1013,Psychiatric Aides,"67,410","28,770","18,940","22,630","26,720","33,590","42,220"
590,31-1014,Nursing Assistants,"1,443,150","27,650","20,040","22,470","26,590","31,370","37,900"
591,31-1015,Orderlies,"52,940","28,550","19,590","22,150","26,690","33,290","40,180"
592,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,"181,000","48,410","22,490","29,530","48,970","62,650","76,270"
593,31-2010,Occupational Therapy Assistants and Aides,"45,380","55,130","28,060","41,940","56,070","67,930","79,060"
594,31-2011,Occupational Therapy Assistants,"38,170","59,530","39,160","48,790","59,010","70,550","80,090"
595,31-2012,Occupational Therapy Aides,"7,210","31,840","20,430","23,260","28,330","35,800","51,180"
596,31-2020,Physical Therapist Assistants and Aides,"135,610","46,170","21,800","27,470","45,290","60,870","74,700"
597,31-2021,Physical Therapist Assistants,"85,580","56,850","34,640","45,840","56,610","66,860","79,040"
598,31-2022,Physical Therapist Aides,"50,030","27,890","19,370","21,880","25,680","30,850","38,340"
599,31-9000,Other Healthcare Support Occupations,"1,484,690","34,920","22,230","27,010","33,170","40,280","49,890"
600,31-9010,Massage Therapists,"95,830","44,480","19,720","27,230","39,860","57,120","74,870"
601,31-9011,Massage Therapists,"95,830","44,480","19,720","27,230","39,860","57,120","74,870"
602,31-9090,Miscellaneous Healthcare Support Occupations,"1,388,860","34,260","22,410","27,000","32,880","39,710","48,750"
603,31-9091,Dental Assistants,"327,290","37,890","25,460","30,410","36,940","45,170","52,000"
604,31-9092,Medical Assistants,"623,560","32,850","22,870","26,860","31,540","37,760","45,310"
605,31-9093,Medical Equipment Preparers,"52,500","35,960","23,610","28,060","34,400","41,860","50,620"
606,31-9094,Medical Transcriptionists,"54,070","37,150","22,330","28,660","35,720","43,700","51,640"
607,31-9095,Pharmacy Aides,"36,660","28,420","18,480","21,130","25,240","32,980","44,380"
608,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,"79,990","26,810","18,540","21,170","25,250","30,460","37,810"
609,31-9097,Phlebotomists,"120,970","33,750","23,330","27,350","32,710","38,800","46,850"
610,31-9099,"Healthcare Support Workers, All Other","93,830","37,720","21,890","27,920","36,330","45,380","54,240"
611,33-0000,Protective Service Occupations,"3,386,360","45,810","20,260","25,630","38,660","59,700","81,980"
612,33-1000,Supervisors of Protective Service Workers,"273,490","72,300","35,540","48,380","67,430","92,520","117,610"
613,33-1010,First-Line Supervisors of Law Enforcement Workers,"143,430","81,380","44,550","56,850","77,500","100,420","126,860"
614,33-1011,First-Line Supervisors of Correctional Officers,"43,230","65,100","39,260","46,090","60,560","82,180","98,290"
615,33-1012,First-Line Supervisors of Police and Detectives,"100,200","88,400","50,370","64,870","84,840","107,660","134,810"
616,33-1020,First-Line Supervisors of Fire Fighting and Prevention Workers,"57,170","77,050","42,070","56,660","74,540","95,600","117,800"
617,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,"57,170","77,050","42,070","56,660","74,540","95,600","117,800"
618,33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers","72,880","50,690","26,780","34,550","47,820","61,230","78,740"
619,33-1099,"First-Line Supervisors of Protective Service Workers, All Other","72,880","50,690","26,780","34,550","47,820","61,230","78,740"
620,33-2000,Fire Fighting and Prevention Workers,"329,480","50,890","23,930","33,010","48,290","65,340","81,490"
621,33-2010,Firefighters,"315,910","50,520","23,700","32,670","48,030","64,870","81,110"
622,33-2011,Firefighters,"315,910","50,520","23,700","32,670","48,030","64,870","81,110"
623,33-2020,Fire Inspectors,"13,570","59,550","31,740","41,480","56,130","74,930","93,910"
624,33-2021,Fire Inspectors and Investigators,"11,910","61,660","34,530","44,090","58,440","76,480","95,270"
625,33-2022,Forest Fire Inspectors and Prevention Specialists,"1,650","44,300","24,700","30,110","36,230","53,980","76,660"
626,33-3000,Law Enforcement Workers,"1,232,490","58,310","31,350","39,060","53,240","74,120","92,890"
627,33-3010,"Bailiffs, Correctional Officers, and Jailers","449,480","46,710","28,280","34,050","42,820","56,950","74,600"
628,33-3011,Bailiffs,"17,880","45,740","23,300","31,700","42,670","60,930","74,300"
629,33-3012,Correctional Officers and Jailers,"431,600","46,750","28,500","34,150","42,820","56,770","74,630"
630,33-3020,Detectives and Criminal Investigators,"104,980","81,490","42,220","55,180","78,120","103,330","131,200"
631,33-3021,Detectives and Criminal Investigators,"104,980","81,490","42,220","55,180","78,120","103,330","131,200"
632,33-3030,Fish and Game Wardens,"6,610","54,760","34,360","42,010","51,730","65,610","77,440"
633,33-3031,Fish and Game Wardens,"6,610","54,760","34,360","42,010","51,730","65,610","77,440"
634,33-3040,Parking Enforcement Workers,"8,920","39,650","22,510","28,480","37,950","50,020","60,110"
635,33-3041,Parking Enforcement Workers,"8,920","39,650","22,510","28,480","37,950","50,020","60,110"
636,33-3050,Police Officers,"662,500","62,790","34,270","44,050","59,750","78,170","98,480"
637,33-3051,Police and Sheriff's Patrol Officers,"657,690","62,760","34,230","44,000","59,680","78,140","98,510"
638,33-3052,Transit and Railroad Police,"4,810","67,850","41,540","54,570","66,610","81,920","96,670"
639,33-9000,Other Protective Service Workers,"1,550,910","30,130","18,620","21,000","25,960","35,750","47,820"
640,33-9010,Animal Control Workers,"12,970","36,600","21,440","27,280","34,550","44,110","55,600"
641,33-9011,Animal Control Workers,"12,970","36,600","21,440","27,280","34,550","44,110","55,600"
642,33-9020,Private Detectives and Investigators,"28,490","53,530","27,210","35,710","48,190","66,300","87,070"
643,33-9021,Private Detectives and Investigators,"28,490","53,530","27,210","35,710","48,190","66,300","87,070"
644,33-9030,Security Guards and Gaming Surveillance Officers,"1,113,580","29,780","18,880","21,320","25,840","34,720","47,350"
645,33-9031,Gaming Surveillance Officers and Gaming Investigators,"10,460","35,280","22,340","26,650","32,630","41,080","52,500"
646,33-9032,Security Guards,"1,103,120","29,730","18,860","21,290","25,770","34,620","47,260"
647,33-9090,Miscellaneous Protective Service Workers,"395,870","29,230","17,960","19,830","25,020","36,240","44,800"
648,33-9091,Crossing Guards,"72,900","29,190","18,320","20,820","26,700","34,300","42,210"
649,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","145,100","22,640","17,070","18,400","20,290","24,260","31,840"
650,33-9093,Transportation Security Screeners,"42,750","40,160","33,410","36,300","39,680","42,570","47,300"
651,33-9099,"Protective Service Workers, All Other","135,120","32,880","19,140","21,900","28,720","38,780","53,460"
652,35-0000,Food Preparation and Serving Related Occupations,"12,981,720","23,850","17,220","18,600","20,810","25,680","35,200"
653,35-1000,Supervisors of Food Preparation and Serving Workers,"1,042,750","36,340","20,820","24,720","32,790","44,810","58,070"
654,35-1010,Supervisors of Food Preparation and Serving Workers,"1,042,750","36,340","20,820","24,720","32,790","44,810","58,070"
655,35-1011,Chefs and Head Cooks,"134,190","47,390","23,630","32,230","43,180","59,080","76,280"
656,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,"908,550","34,700","20,690","24,250","31,480","42,550","54,510"
657,35-2000,Cooks and Food Preparation Workers,"3,190,940","23,990","17,550","19,280","22,460","27,420","33,000"
658,35-2010,Cooks,"2,340,280","24,370","17,610","19,450","22,850","28,030","33,890"
659,35-2011,"Cooks, Fast Food","513,200","20,570","16,850","18,140","19,860","22,520","25,290"
660,35-2012,"Cooks, Institution and Cafeteria","409,850","26,370","17,840","20,270","24,750","30,660","38,030"
661,35-2013,"Cooks, Private Household",370,"42,220","21,080","23,590","32,060","55,170","62,730"
662,35-2014,"Cooks, Restaurant","1,217,370","25,430","18,170","20,530","24,140","29,220","35,090"
663,35-2015,"Cooks, Short Order","183,990","23,130","17,520","19,090","21,890","25,450","30,890"
664,35-2019,"Cooks, All Other","15,490","29,210","18,870","21,490","27,120","34,340","43,580"
665,35-2020,Food Preparation Workers,"850,670","22,920","17,420","18,960","21,440","25,360","31,040"
666,35-2021,Food Preparation Workers,"850,670","22,920","17,420","18,960","21,440","25,360","31,040"
667,35-3000,Food and Beverage Serving Workers,"7,355,090","22,430","16,980","18,230","19,750","23,690","31,250"
668,35-3010,Bartenders,"603,320","25,580","17,310","18,650","20,800","28,780","40,230"
669,35-3011,Bartenders,"603,320","25,580","17,310","18,650","20,800","28,780","40,230"
670,35-3020,Fast Food and Counter Workers,"3,925,640","20,580","16,850","18,080","19,500","22,280","25,590"
671,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food","3,426,090","20,460","16,810","18,030","19,440","22,160","25,330"
672,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","499,550","21,380","17,230","18,460","19,970","23,100","28,010"
673,35-3030,Waiters and Waitresses,"2,564,610","24,410","17,090","18,360","19,990","26,590","38,460"
674,35-3031,Waiters and Waitresses,"2,564,610","24,410","17,090","18,360","19,990","26,590","38,460"
675,35-3040,"Food Servers, Nonrestaurant","261,520","23,490","17,320","18,720","21,240","25,410","33,430"
676,35-3041,"Food Servers, Nonrestaurant","261,520","23,490","17,320","18,720","21,240","25,410","33,430"
677,35-9000,Other Food Preparation and Serving Related Workers,"1,392,950","21,710","17,200","18,500","20,310","23,500","28,530"
678,35-9010,Dining Room and Cafeteria Attendants and Bartender Helpers,"423,080","22,340","17,280","18,510","20,200","23,740","30,390"
679,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,"423,080","22,340","17,280","18,510","20,200","23,740","30,390"
680,35-9020,Dishwashers,"506,450","21,260","17,310","18,660","20,800","23,240","25,800"
681,35-9021,Dishwashers,"506,450","21,260","17,310","18,660","20,800","23,240","25,800"
682,35-9030,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","404,360","21,410","16,990","18,280","19,980","23,470","28,620"
683,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","404,360","21,410","16,990","18,280","19,980","23,470","28,620"
684,35-9090,Miscellaneous Food Preparation and Serving Related Workers,"59,060","23,200","17,190","18,740","21,090","24,970","33,450"
685,35-9099,"Food Preparation and Serving Related Workers, All Other","59,060","23,200","17,190","18,740","21,090","24,970","33,450"
686,37-0000,Building and Grounds Cleaning and Maintenance Occupations,"4,426,090","28,010","18,120","20,340","24,700","32,570","43,260"
687,37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,"264,210","44,190","25,210","31,350","40,880","53,860","68,050"
688,37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,"264,210","44,190","25,210","31,350","40,880","53,860","68,050"
689,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,"161,140","41,240","23,650","29,240","38,190","50,040","63,350"
690,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","103,070","48,790","28,400","35,280","45,740","59,330","75,060"
691,37-2000,Building Cleaning and Pest Control Workers,"3,174,220","26,300","17,800","19,660","23,560","30,500","39,490"
692,37-2010,Building Cleaning Workers,"3,101,400","26,090","17,780","19,610","23,420","30,210","39,140"
693,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","2,161,740","27,030","18,000","20,000","24,190","31,490","40,760"
694,37-2012,Maids and Housekeeping Cleaners,"924,640","23,830","17,370","18,960","21,820","26,370","34,430"
695,37-2019,"Building Cleaning Workers, All Other","15,020","30,960","19,430","22,900","29,700","37,360","45,140"
696,37-2020,Pest Control Workers,"72,830","35,020","21,630","26,740","33,040","41,270","50,920"
697,37-2021,Pest Control Workers,"72,830","35,020","21,630","26,740","33,040","41,270","50,920"
698,37-3000,Grounds Maintenance Workers,"987,670","29,170","19,270","22,010","26,830","33,900","43,070"
699,37-3010,Grounds Maintenance Workers,"987,670","29,170","19,270","22,010","26,830","33,900","43,070"
700,37-3011,Landscaping and Groundskeeping Workers,"906,570","28,560","19,160","21,800","26,320","32,790","41,070"
701,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","25,230","35,720","23,130","27,750","33,740","40,610","51,030"
702,37-3013,Tree Trimmers and Pruners,"40,680","37,310","22,950","28,100","35,030","45,330","56,970"
703,37-3019,"Grounds Maintenance Workers, All Other","15,170","32,930","19,020","21,870","28,470","39,920","56,430"
704,39-0000,Personal Care and Service Occupations,"4,514,960","26,510","17,590","19,320","22,710","29,170","40,490"
705,39-1000,Supervisors of Personal Care and Service Workers,"220,200","40,880","22,810","28,770","37,690","49,770","63,320"
706,39-1010,First-Line Supervisors of Gaming Workers,"29,780","47,590","24,630","34,340","46,810","59,390","72,050"
707,39-1011,Gaming Supervisors,"22,130","50,810","28,640","38,450","50,520","61,500","74,660"
708,39-1012,Slot Supervisors,"7,640","38,300","20,810","25,910","36,080","47,950","60,630"
709,39-1020,First-Line Supervisors of Personal Service Workers,"190,420","39,830","22,660","28,280","36,700","48,160","61,850"
710,39-1021,First-Line Supervisors of Personal Service Workers,"190,420","39,830","22,660","28,280","36,700","48,160","61,850"
711,39-2000,Animal Care and Service Workers,"200,950","25,110","17,600","19,160","22,230","27,730","37,370"
712,39-2010,Animal Trainers,"13,590","34,580","18,740","21,590","27,690","40,740","58,050"
713,39-2011,Animal Trainers,"13,590","34,580","18,740","21,590","27,690","40,740","58,050"
714,39-2020,Nonfarm Animal Caretakers,"187,360","24,420","17,550","19,080","21,990","26,940","35,860"
715,39-2021,Nonfarm Animal Caretakers,"187,360","24,420","17,550","19,080","21,990","26,940","35,860"
716,39-3000,Entertainment Attendants and Related Workers,"567,550","22,660","17,090","18,370","20,110","24,030","31,320"
717,39-3010,Gaming Services Workers,"118,170","23,000","16,780","18,120","19,670","23,750","35,660"
718,39-3011,Gaming Dealers,"94,570","21,990","16,630","17,900","19,290","21,200","31,780"
719,39-3012,Gaming and Sports Book Writers and Runners,"11,460","25,710","17,820","19,440","22,600","28,970","39,520"
720,39-3019,"Gaming Service Workers, All Other","12,140","28,300","18,090","20,800","24,880","32,060","42,200"
721,39-3020,Motion Picture Projectionists,"5,480","24,750","17,660","18,920","22,100","27,770","35,030"
722,39-3021,Motion Picture Projectionists,"5,480","24,750","17,660","18,920","22,100","27,770","35,030"
723,39-3030,"Ushers, Lobby Attendants, and Ticket Takers","117,920","21,740","16,970","18,270","19,920","23,470","29,690"
724,39-3031,"Ushers, Lobby Attendants, and Ticket Takers","117,920","21,740","16,970","18,270","19,920","23,470","29,690"
725,39-3090,Miscellaneous Entertainment Attendants and Related Workers,"325,970","22,830","17,250","18,510","20,610","24,210","31,130"
726,39-3091,Amusement and Recreation Attendants,"286,740","22,000","17,190","18,410","20,160","23,660","29,660"
727,39-3092,Costume Attendants,"6,640","50,470","20,820","29,940","45,900","66,120","87,310"
728,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants","18,040","24,390","17,560","18,950","21,720","28,090","36,100"
729,39-3099,"Entertainment Attendants and Related Workers, All Other","14,550","24,610","17,880","19,770","23,270","28,070","32,000"
730,39-4000,Funeral Service Workers,"65,330","38,890","19,130","23,280","32,080","48,500","67,240"
731,39-4010,Embalmers,"3,710","42,260","24,970","31,150","40,150","51,410","63,090"
732,39-4011,Embalmers,"3,710","42,260","24,970","31,150","40,150","51,410","63,090"
733,39-4020,Funeral Attendants,"35,770","27,110","18,100","20,460","24,830","31,360","39,720"
734,39-4021,Funeral Attendants,"35,770","27,110","18,100","20,460","24,830","31,360","39,720"
735,39-4030,"Morticians, Undertakers, and Funeral Directors","25,850","54,700","27,950","36,750","50,090","66,130","83,980"
736,39-4031,"Morticians, Undertakers, and Funeral Directors","25,850","54,700","27,950","36,750","50,090","66,130","83,980"
737,39-5000,Personal Appearance Workers,"521,740","29,190","18,090","19,670","23,880","33,110","47,770"
738,39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists","368,280","29,600","17,940","19,570","24,300","34,350","48,940"
739,39-5011,Barbers,"15,900","29,900","18,210","20,350","25,760","37,020","47,400"
740,39-5012,"Hairdressers, Hairstylists, and Cosmetologists","352,380","29,590","17,930","19,550","24,260","34,170","49,050"
741,39-5090,Miscellaneous Personal Appearance Workers,"153,460","28,210","18,540","19,940","23,130","30,530","44,010"
742,39-5091,"Makeup Artists, Theatrical and Performance","3,600","71,590","22,630","37,940","60,970","106,070","124,960"
743,39-5092,Manicurists and Pedicurists,"90,630","24,330","18,800","19,910","22,150","26,440","33,590"
744,39-5093,Shampooers,"15,240","20,960","17,480","18,530","19,700","22,760","25,750"
745,39-5094,Skincare Specialists,"43,980","35,160","18,640","21,960","30,270","42,810","59,780"
746,39-6000,"Baggage Porters, Bellhops, and Concierges","76,760","27,630","18,200","20,270","24,710","32,250","40,790"
747,39-6010,"Baggage Porters, Bellhops, and Concierges","76,760","27,630","18,200","20,270","24,710","32,250","40,790"
748,39-6011,Baggage Porters and Bellhops,"44,750","24,910","17,690","19,090","22,260","28,440","36,110"
749,39-6012,Concierges,"32,020","31,440","20,560","23,380","29,250","37,500","46,750"
750,39-7000,Tour and Travel Guides,"41,690","28,670","18,350","20,770","25,370","33,920","44,760"
751,39-7010,Tour and Travel Guides,"41,690","28,670","18,350","20,770","25,370","33,920","44,760"
