,Occupation_Code,Occupation_Title,Total_Employees,Mean_Annual_Wage,Annual_10th_Percentile_Wage,Annual_25th_Percentile_Wage,Annual_Median_Wage,Annual_75th_Percentile_Wage,Annual_90th_Percentile_Wage
63,11-9141,"Property, Real Estate, and Community Association Managers","180,290","70,290","28,260","39,910","57,040","83,110","126,390"
64,11-9150,Social and Community Service Managers,"126,230","70,870","39,770","50,030","64,680","85,230","110,970"
65,11-9151,Social and Community Service Managers,"126,230","70,870","39,770","50,030","64,680","85,230","110,970"
66,11-9160,Emergency Management Directors,"9,570","78,060","36,760","50,160","70,500","99,200","133,880"
67,11-9161,Emergency Management Directors,"9,570","78,060","36,760","50,160","70,500","99,200","133,880"
68,11-9190,Miscellaneous Managers,"403,670","112,150","52,860","75,710","104,970","137,220","172,570"
69,11-9199,"Managers, All Other","403,670","112,150","52,860","75,710","104,970","137,220","172,570"
70,13-0000,Business and Financial Operations Occupations,"7,281,190","75,070","36,910","49,460","66,530","90,410","120,910"
71,13-1000,Business Operations Specialists,"4,629,810","71,840","36,100","48,400","65,260","87,840","114,790"
72,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes","13,470","86,560","27,290","39,560","62,080","97,990","194,810"
73,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","13,470","86,560","27,290","39,560","62,080","97,990","194,810"
74,13-1020,Buyers and Purchasing Agents,"418,530","65,390","35,430","45,810","60,700","80,080","101,320"
75,13-1021,"Buyers and Purchasing Agents, Farm Products","11,490","63,910","32,330","43,320","58,430","77,250","102,410"
76,13-1022,"Wholesale and Retail Buyers, Except Farm Products","109,440","60,040","30,110","39,510","53,340","72,430","97,830"
77,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","297,600","67,420","38,600","48,650","63,300","82,340","101,770"
78,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators","289,550","65,040","37,840","48,270","63,670","78,950","95,720"
79,13-1031,"Claims Adjusters, Examiners, and Investigators","274,420","64,990","37,540","48,020","63,680","78,980","95,760"
80,13-1032,"Insurance Appraisers, Auto Damage","15,130","65,930","42,740","52,380","63,510","78,560","95,000"
81,13-1040,Compliance Officers,"273,910","70,250","37,630","49,160","66,540","86,620","105,260"
82,13-1041,Compliance Officers,"273,910","70,250","37,630","49,160","66,540","86,620","105,260"
83,13-1050,Cost Estimators,"214,610","66,620","35,870","47,330","61,790","80,570","103,250"
84,13-1051,Cost Estimators,"214,610","66,620","35,870","47,330","61,790","80,570","103,250"
85,13-1070,Human Resources Workers,"605,040","64,780","33,110","44,050","59,440","79,360","102,820"
86,13-1071,Human Resources Specialists,"524,800","64,890","34,770","44,620","59,180","78,460","101,420"
87,13-1074,Farm Labor Contractors,810,"47,290","18,120","21,280","35,160","60,260","95,360"
88,13-1075,Labor Relations Specialists,"79,430","64,250","18,480","34,160","62,310","87,020","114,340"
89,13-1080,Logisticians,"146,060","77,810","45,380","57,520","74,170","94,980","117,310"
90,13-1081,Logisticians,"146,060","77,810","45,380","57,520","74,170","94,980","117,310"
91,13-1110,Management Analysts,"637,690","91,910","46,560","60,950","81,330","109,170","149,720"
92,13-1111,Management Analysts,"637,690","91,910","46,560","60,950","81,330","109,170","149,720"
93,13-1120,"Meeting, Convention, and Event Planners","95,850","52,020","25,670","34,790","47,350","63,140","83,030"
94,13-1121,"Meeting, Convention, and Event Planners","95,850","52,020","25,670","34,790","47,350","63,140","83,030"
95,13-1130,Fundraisers,"68,910","57,930","31,850","41,190","54,130","71,660","91,530"
96,13-1131,Fundraisers,"68,910","57,930","31,850","41,190","54,130","71,660","91,530"
97,13-1140,"Compensation, Benefits, and Job Analysis Specialists","79,190","66,490","39,090","48,420","62,080","79,220","101,020"
98,13-1141,"Compensation, Benefits, and Job Analysis Specialists","79,190","66,490","39,090","48,420","62,080","79,220","101,020"
99,13-1150,Training and Development Specialists,"269,710","63,350","32,410","42,950","59,020","79,280","101,010"
100,13-1151,Training and Development Specialists,"269,710","63,350","32,410","42,950","59,020","79,280","101,010"
101,13-1160,Market Research Analysts and Marketing Specialists,"558,630","70,620","33,950","45,550","62,560","88,260","121,720"
102,13-1161,Market Research Analysts and Marketing Specialists,"558,630","70,620","33,950","45,550","62,560","88,260","121,720"
103,13-1190,Miscellaneous Business Operations Specialists,"958,670","74,870","38,020","51,480","69,040","92,080","118,500"
104,13-1199,"Business Operations Specialists, All Other","958,670","74,870","38,020","51,480","69,040","92,080","118,500"
105,13-2000,Financial Specialists,"2,651,370","80,700","38,700","51,510","68,780","94,940","131,800"
106,13-2010,Accountants and Auditors,"1,246,540","76,730","42,140","53,240","68,150","90,670","120,910"
107,13-2011,Accountants and Auditors,"1,246,540","76,730","42,140","53,240","68,150","90,670","120,910"
108,13-2020,Appraisers and Assessors of Real Estate,"60,770","58,030","27,060","37,490","51,850","73,080","97,120"
109,13-2021,Appraisers and Assessors of Real Estate,"60,770","58,030","27,060","37,490","51,850","73,080","97,120"
110,13-2030,Budget Analysts,"54,700","77,170","48,300","58,860","73,840","92,890","111,460"
111,13-2031,Budget Analysts,"54,700","77,170","48,300","58,860","73,840","92,890","111,460"
112,13-2040,Credit Analysts,"72,930","81,160","40,860","52,510","69,930","96,910","137,730"
